Sample in Buffer,Sample in Window,TRIGGER,protpg_inst/data_in[23:0],protpg_inst/hsv_h[8:0],protpg_inst/hsv_s[7:0],protpg_inst/hsv_v[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
362,362,0,404038,60,4,64
363,363,0,404038,60,4,64
364,364,0,404030,60,4,64
365,365,0,404030,60,4,64
366,366,0,404030,60,40,64
367,367,0,383c30,60,40,64
368,368,0,383c30,60,40,64
369,369,0,403c30,60,36,64
370,370,0,403838,60,36,63
371,371,0,403838,60,40,63
372,372,0,383830,54,24,64
373,373,0,383430,310,24,64
374,374,0,383830,310,36,64
375,375,0,383430,26,40,63
376,376,0,383430,354,36,63
377,377,0,383430,26,40,63
378,378,0,383030,354,40,63
379,379,0,383030,354,40,63
380,380,0,303030,354,60,63
381,381,0,303030,336,60,63
382,382,0,283430,336,28,63
383,383,0,303c38,300,28,54
384,384,0,384438,300,42,54
385,385,0,384840,187,36,54
386,386,0,404840,180,22,63
387,387,0,484840,120,38,69
388,388,0,484840,125,34,74
389,389,0,484840,120,34,74
390,390,0,484440,66,34,74
391,391,0,484440,66,34,74
392,392,0,404440,66,31,74
393,393,0,505050,33,31,73
394,394,0,585858,33,18,73
395,395,0,606460,120,6,69
396,396,0,686060,300,2,82
397,397,0,686060,300,2,91
398,398,0,686068,120,30,101
399,399,0,686468,342,30,109
400,400,0,686468,342,30,109
401,401,0,686868,300,18,109
402,402,0,706868,300,18,109
403,403,0,686460,300,7,109
404,404,0,686458,300,26,109
405,405,0,585448,345,21,118
406,406,0,484040,6,42,109
407,407,0,484040,33,50,109
408,408,0,484040,40,31,91
409,409,0,484040,360,31,73
410,410,0,483c48,360,31,73
411,411,0,484048,360,31,73
412,412,0,504448,360,35,73
413,413,0,504848,300,31,73
414,414,0,584c48,300,40,73
415,415,0,584848,342,28,82
416,416,0,504848,6,50,82
417,417,0,504848,20,50,91
418,418,0,504c40,3,28,91
419,419,0,504c40,6,28,82
420,420,0,504c48,6,56,82
421,421,0,504840,50,56,82
422,422,0,504848,50,28,82
423,423,0,504848,40,56,82
424,424,0,504840,33,28,82
425,425,0,504840,6,28,82
426,426,0,484840,6,56,82
427,427,0,484840,33,56,82
428,428,0,404440,33,34,82
429,429,0,404440,66,34,74
430,430,0,504040,66,18,74
431,431,0,484040,120,18,69
432,432,0,404040,120,56,69
433,433,0,404040,360,31,82
434,434,0,384048,360,0,73
435,435,0,404448,0,0,64
436,436,0,404050,0,35,64
437,437,0,484458,234,31,73
438,438,0,504850,207,56,73
439,439,0,504850,240,61,82
440,440,0,504c50,250,24,91
441,441,0,504c50,300,24,82
442,442,0,504c58,300,9,82
443,443,0,505058,300,9,82
444,444,0,584c60,300,33,82
445,445,0,584c60,255,30,91
446,446,0,505060,250,53,91
447,447,0,585060,274,53,100
448,448,0,584c60,274,51,100
449,449,0,585060,246,51,100
450,450,0,585060,273,53,100
451,451,0,605460,274,51,100
452,452,0,605460,273,51,100
453,453,0,605460,273,38,100
454,454,0,605460,300,38,100
455,455,0,605860,300,38,100
456,456,0,605860,300,38,100
457,457,0,605860,300,25,100
458,458,0,605860,300,25,100
459,459,0,605860,300,25,100
460,460,0,605c60,300,25,100
461,461,0,605c60,300,25,100
462,462,0,605860,300,12,100
463,463,0,605860,300,12,100
464,464,0,605868,300,25,100
465,465,0,605868,300,25,100
466,466,0,685860,300,44,100
467,467,0,685860,271,44,109
468,468,0,685860,271,44,109
469,469,0,685c60,329,44,109
470,470,0,685868,329,44,109
471,471,0,685868,329,32,109
472,472,0,685870,339,44,109
473,473,0,685c70,300,44,109
474,474,0,686470,300,60,109
475,475,0,686878,280,49,118
476,476,0,706078,276,36,118
477,477,0,887890,268,42,118
478,478,0,9088a0,248,62,127
