Sample in Buffer,Sample in Window,TRIGGER,MONITOR_INST/TS_S[3:0],MONITOR_INST/X[13:0],MONITOR_INST/ds,MONITOR_INST/sw,MONITOR_INST/speed_set[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
578,578,0,5,032e,0,0,c424
579,579,0,5,032e,0,0,c424
580,580,0,5,032e,0,0,c424
581,581,0,5,032e,0,0,c424
582,582,0,5,032e,0,0,c424
583,583,0,5,032e,0,0,c424
584,584,0,5,032e,0,0,c424
585,585,0,5,032e,0,0,c424
586,586,0,5,032e,0,0,c424
587,587,0,5,032e,0,0,c424
588,588,0,5,032e,0,0,c424
589,589,0,5,032e,0,0,c424
590,590,0,5,032e,0,0,c424
591,591,0,5,032e,0,0,c424
592,592,0,5,032e,0,0,c424
593,593,0,5,032e,0,0,c424
594,594,0,5,032e,0,0,c424
595,595,0,5,032e,0,0,c424
596,596,0,5,032e,0,0,c424
597,597,0,5,032e,0,0,c424
598,598,0,5,032e,0,0,c424
599,599,0,5,032e,0,0,c424
600,600,0,5,032e,0,0,c424
601,601,0,5,032e,0,0,c424
602,602,0,5,032e,0,0,c424
603,603,0,5,032e,0,0,c424
604,604,0,5,032e,0,0,c424
605,605,0,5,032e,0,0,c424
606,606,0,5,032e,0,0,c424
607,607,0,5,032e,0,0,c424
608,608,0,5,032e,0,0,c424
609,609,0,5,032e,0,0,c424
610,610,0,5,032e,0,0,c424
611,611,0,5,032e,0,0,c424
612,612,0,5,032e,0,0,c424
613,613,0,5,032e,0,0,c424
614,614,0,5,032e,0,0,c424
615,615,0,5,032e,0,0,c424
616,616,0,5,032e,0,0,c424
617,617,0,5,032e,0,0,c424
618,618,0,5,032e,0,0,c424
619,619,0,5,032e,0,0,c424
620,620,0,5,032e,0,0,c424
621,621,0,5,032e,0,0,c424
622,622,0,5,032e,0,0,c424
623,623,0,5,032e,0,0,c424
624,624,0,5,032e,0,0,c424
625,625,0,5,032e,0,0,c424
626,626,0,5,032e,0,0,c424
627,627,0,5,032e,0,0,c424
628,628,0,5,032e,0,0,c424
629,629,0,5,032e,0,0,c424
630,630,0,5,032e,0,0,c424
631,631,0,5,032e,0,0,c424
632,632,0,5,032e,0,0,c424
633,633,0,5,032e,0,0,c424
634,634,0,5,032e,0,0,c424
635,635,0,5,032e,0,0,c424
636,636,0,5,032e,0,0,c424
637,637,0,5,032e,0,0,c424
638,638,0,5,032e,0,0,c424
639,639,0,5,032e,0,0,c424
640,640,0,5,032e,0,0,c424
641,641,0,5,032e,0,0,c424
642,642,0,5,032e,0,0,c424
643,643,0,5,032e,0,0,c424
644,644,0,5,032e,0,0,c424
645,645,0,5,032e,0,0,c424
646,646,0,5,032e,0,0,c424
647,647,0,5,032e,0,0,c424
648,648,0,5,032e,0,0,c424
649,649,0,5,032e,0,0,c424
650,650,0,5,032e,0,0,c424
651,651,0,5,032e,0,0,c424
652,652,0,5,032e,0,0,c424
653,653,0,5,032e,0,0,c424
654,654,0,5,032e,0,0,c424
655,655,0,5,032e,0,0,c424
656,656,0,5,032e,0,0,c424
657,657,0,5,032e,0,0,c424
658,658,0,5,032e,0,0,c424
659,659,0,5,032e,0,0,c424
660,660,0,5,032e,0,0,c424
661,661,0,5,032e,0,0,c424
662,662,0,5,032e,0,0,c424
663,663,0,5,032e,0,0,c424
664,664,0,5,032e,0,0,c424
665,665,0,5,032e,0,0,c424
666,666,0,5,032e,0,0,c424
667,667,0,5,032e,0,0,c424
668,668,0,5,032e,0,0,c424
669,669,0,5,032e,0,0,c424
670,670,0,5,032e,0,0,c424
671,671,0,5,032e,0,0,c424
672,672,0,5,032e,0,0,c424
673,673,0,5,032e,0,0,c424
674,674,0,5,032e,0,0,c424
675,675,0,5,032e,0,0,c424
676,676,0,5,032e,0,0,c424
677,677,0,5,032e,0,0,c424
678,678,0,5,032e,0,0,c424
679,679,0,5,032e,0,0,c424
680,680,0,5,032e,0,0,c424
681,681,0,5,032e,0,0,c424
682,682,0,5,032e,0,0,c424
683,683,0,5,032e,0,0,c424
684,684,0,5,032e,0,0,c424
685,685,0,5,032e,0,0,c424
686,686,0,5,032e,0,0,c424
687,687,0,5,032e,0,0,c424
688,688,0,5,032e,0,0,c424
689,689,0,5,032e,0,0,c424
690,690,0,5,032e,0,0,c424
691,691,0,5,032e,0,0,c424
692,692,0,5,032e,0,0,c424
693,693,0,5,032e,0,0,c424
694,694,0,5,032e,0,0,c424
695,695,0,5,032e,0,0,c424
696,696,0,5,032e,0,0,c424
697,697,0,5,032e,0,0,c424
698,698,0,5,032e,0,0,c424
699,699,0,5,032e,0,0,c424
700,700,0,5,032e,0,0,c424
701,701,0,5,032e,0,0,c424
702,702,0,5,032e,0,0,c424
703,703,0,5,032e,0,0,c424
704,704,0,5,032e,0,0,c424
705,705,0,5,032e,0,0,c424
706,706,0,5,032e,0,0,c424
707,707,0,5,032e,0,0,c424
708,708,0,5,032e,0,0,c424
709,709,0,5,032e,0,0,c424
710,710,0,5,032e,0,0,c424
711,711,0,5,032e,0,0,c424
712,712,0,5,032e,0,0,c424
713,713,0,5,032e,0,0,c424
714,714,0,5,032e,0,0,c424
715,715,0,5,032e,0,0,c424
716,716,0,5,032e,0,0,c424
717,717,0,5,032e,0,0,c424
718,718,0,5,032e,0,0,c424
719,719,0,5,032e,0,0,c424
720,720,0,5,032e,0,0,c424
721,721,0,5,032e,0,0,c424
722,722,0,5,032e,0,0,c424
723,723,0,5,032e,0,0,c424
724,724,0,5,032e,0,0,c424
725,725,0,5,032e,0,0,c424
726,726,0,5,032e,0,0,c424
727,727,0,5,032e,0,0,c424
728,728,0,5,032e,0,0,c424
729,729,0,5,032e,0,0,c424
730,730,0,5,032e,0,0,c424
731,731,0,5,032e,0,0,c424
732,732,0,5,032e,0,0,c424
733,733,0,5,032e,0,0,c424
734,734,0,5,032e,0,0,c424
735,735,0,5,032e,0,0,c424
736,736,0,5,032e,0,0,c424
737,737,0,5,032e,0,0,c424
738,738,0,5,032e,0,0,c424
739,739,0,5,032e,0,0,c424
740,740,0,5,032e,0,0,c424
741,741,0,5,032e,0,0,c424
742,742,0,5,032e,0,0,c424
743,743,0,5,032e,0,0,c424
